,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
53,53,"Other computer and electronic manufacturing, n.e.c.",1636224416.37729,RD25,0.40000,0.21451,0.30031,0.27285,Intellectual Property,-0.69205,0.21559,0.08670,0.17786,0.48773,0.44373,Intellectual Property,0.02600,0.07394,0.05860,corporate,0.00463,0.03606,0.02600,0.42600,0.47394,0.45860,0.93864,0.87336,0.89324,2020
54,54,Motor vehicles and parts manufacturing,39313793397.64573,RD31,0.31000,0.22428,0.31007,0.28262,Intellectual Property,-0.51680,0.24622,0.13125,0.26301,0.50774,0.47086,Intellectual Property,0.02901,0.07695,0.06161,corporate,0.00763,0.03907,0.02901,0.33901,0.38695,0.37161,0.92221,0.84239,0.86639,2020
55,55,Aerospace products and parts manufacturing,33211530576.08377,RD32,0.22000,0.23404,0.31984,0.29238,Intellectual Property,-0.37444,0.27455,0.17165,0.33218,0.52624,0.49547,Intellectual Property,0.03201,0.07995,0.06461,corporate,0.01063,0.04207,0.03201,0.25201,0.29995,0.28461,0.89376,0.79137,0.82148,2020
56,56,Software publishers,20657269549.42317,RD40,0.22000,0.23404,0.31984,0.29238,Intellectual Property,-0.37444,0.27455,0.17165,0.33218,0.52624,0.49547,Intellectual Property,0.03201,0.07995,0.06461,corporate,0.01063,0.04207,0.03201,0.25201,0.29995,0.28461,0.89376,0.79137,0.82148,2020
57,57,Financial and real estate services,6097212063.69451,RD50,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
58,58,Computer systems design and related services,6318822870.45265,RD60,0.36000,0.21885,0.30465,0.27719,Intellectual Property,-0.60940,0.22950,0.10705,0.21802,0.49682,0.45613,Intellectual Property,0.02734,0.07528,0.05994,corporate,0.00596,0.03740,0.02734,0.38734,0.43528,0.41994,0.93228,0.86124,0.88277,2020
59,59,Scientific research and development services,22814623102.50269,RD70,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
60,60,"All other nonmanufacturing, n.e.c.",86239268420.53497,RD80,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
61,61,Private universities and colleges,8714364638.50274,RD91,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
62,62,Other nonprofit institutions,36718605375.43617,RD92,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
63,63,Other manufacturing,207322515562.10355,RDOM,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
64,64,Inventories,1540550422356.87988,INV,0.00000,0.28104,0.36877,0.34079,Inventories,0.05323,0.38952,0.32684,0.53998,0.60132,0.59000,Inventories,0.04647,0.09501,0.07951,corporate,0.02509,0.05713,0.04691,0.04647,0.09501,0.07951,0.00000,0.00000,0.00000,2020
65,65,Land,3586505862665.65332,LAND,0.00000,0.26075,0.35000,0.32144,Land,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Land,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.04023,0.08923,0.07355,0.00000,0.00000,0.00000,2020
66,66,Petroleum and natural gas,1033009084262.45227,SM01,0.07510,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Mining and Drilling Structures,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.11533,0.16433,0.14865,0.74173,0.56424,0.61103,2020
67,67,Mining,82930242550.87573,SM02,0.04500,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Mining and Drilling Structures,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.08523,0.13423,0.11855,0.63247,0.43689,0.48487,2020
68,68,Communication,578746934520.27332,SU20,0.02370,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Mining and Drilling Structures,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06393,0.11293,0.09725,0.47543,0.29009,0.33143,2020
69,69,Gas,365538291966.44250,SU40,0.07510,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Mining and Drilling Structures,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.11533,0.16433,0.14865,0.74173,0.56424,0.61103,2020
70,70,Petroleum pipelines,112623061581.18890,SU50,0.02370,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Mining and Drilling Structures,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06393,0.11293,0.09725,0.47543,0.29009,0.33143,2020
71,71,Religious,100591058771.57298,SB10,0.01880,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.05903,0.10803,0.09235,0.41824,0.24479,0.28225,2020
72,72,Educational and vocational,282731632260.71143,SB20,0.01880,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.05903,0.10803,0.09235,0.41824,0.24479,0.28225,2020
73,73,Hospitals,321465584009.55084,SB31,0.01880,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.05903,0.10803,0.09235,0.41824,0.24479,0.28225,2020
74,74,Special care,70115662530.67619,SB32,0.01880,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.05903,0.10803,0.09235,0.41824,0.24479,0.28225,2020
75,75,Lodging,171809464722.00076,SB41,0.02810,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06833,0.11733,0.10165,0.51797,0.32636,0.37018,2020
76,76,Air transportation,26676130901.78949,SB43,0.02370,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06393,0.11293,0.09725,0.47543,0.29009,0.33143,2020
77,77,Other transportation,3546598618.30267,SB45,0.02370,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06393,0.11293,0.09725,0.47543,0.29009,0.33143,2020
78,78,Warehouses,281416771190.32635,SC01,0.02250,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06273,0.11173,0.09605,0.46249,0.27950,0.32002,2020
79,79,Other commercial,342925648721.18970,SC02,0.02620,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06643,0.11543,0.09975,0.50048,0.31116,0.35402,2020
80,80,Multimerchandise shopping,424453104850.84991,SC03,0.02620,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06643,0.11543,0.09975,0.50048,0.31116,0.35402,2020
81,81,Food and beverage establishments,177715537882.64343,SC04,0.02620,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.06643,0.11543,0.09975,0.50048,0.31116,0.35402,2020
82,82,Manufacturing,1098167248469.70093,SI00,0.03140,0.26075,0.35000,0.32144,Structures,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Nonresidential Buildings,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.07163,0.12063,0.10495,0.54561,0.35123,0.39642,2020
